1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,2.0
8,2.0
9,2.0
10,2.0
11,3.0
12,3.0
13,3.0
14,4.0
15,4.0
16,5.0
17,5.0
18,6.0
19,6.0
20,7.0
21,7.0
22,8.0
23,9.0
24,10.0
25,10.0
26,11.0
27,12.0
28,13.0
29,13.0
30,14.0
31,15.0
32,16.0
33,17.0
34,18.0
35,19.0
36,20.0
37,21.0
38,22.0
39,23.0
40,25.0
41,26.0
42,27.0
43,28.0
44,29.0
45,31.0
46,32.0
47,33.0
48,34.0
49,36.0
50,37.0
51,38.0
52,40.0
53,41.0
54,42.0
55,44.0
56,45.0
57,47.0
58,48.0
59,50.0
60,51.0
61,53.0
62,54.0
63,56.0
64,57.0
65,59.0
66,60.0
67,62.0
68,63.0
69,65.0
70,66.0
71,68.0
72,69.0
73,71.0
74,73.0
75,74.0
76,76.0
77,77.0
78,79.0
79,80.0
80,82.0
81,83.0
82,85.0
83,87.0
84,88.0
85,90.0
86,91.0
87,93.0
88,94.0
89,96.0
90,97.0
91,99.0
92,100.0
93,102.0
94,103.0
95,105.0
96,106.0
97,107.0
98,109.0
99,110.0
100,112.0
101,113.0
102,114.0
103,116.0
104,117.0
105,118.0
106,120.0
107,121.0
108,122.0
109,123.0
110,124.0
111,126.0
112,127.0
113,128.0
114,129.0
115,130.0
116,131.0
117,132.0
118,133.0
119,134.0
120,135.0
121,136.0
122,137.0
123,138.0
124,139.0
125,139.0
126,140.0
127,141.0
128,142.0
129,142.0
130,143.0
131,144.0
132,144.0
133,145.0
134,145.0
135,146.0
136,146.0
137,147.0
138,147.0
139,148.0
140,148.0
141,148.0
142,149.0
143,149.0
144,149.0
145,149.0
146,150.0
147,150.0
148,150.0
149,150.0
150,150.0
151,150.0
152,150.0
153,150.0
154,150.0
155,150.0
156,150.0
157,149.0
158,149.0
159,149.0
160,149.0
161,148.0
162,148.0
163,148.0
164,147.0
165,147.0
166,146.0
167,146.0
168,145.0
169,145.0
170,144.0
171,143.0
172,143.0
173,142.0
174,141.0
175,141.0
176,140.0
177,139.0
178,138.0
179,137.0
180,136.0
181,135.0
182,135.0
183,134.0
184,133.0
185,132.0
186,131.0
187,129.0
188,128.0
189,127.0
190,126.0
191,125.0
192,124.0
193,123.0
194,121.0
195,120.0
196,119.0
197,118.0
198,116.0
199,115.0
200,114.0
201,112.0
202,111.0
203,110.0
